count = 110477
rdma/hfi1 29
kbuild 29
fbdev 29
hrtimer 29
ib/ipoib 29
vfio/pci 29
dma-debug 29
s390/vfio-ap 29
rtl8xxxu 29
be2net 29
net/mlx4_en 29
rdma/ucma 29
hci_qca 28
pci/pm 28
net/tls 28
arm64/mm 28
drm/i915/display 28
dma-buf 28
perf script python 28
ib/rdmavt 28
device-dax 28
perf metric 28
dm raid 28
perf data 27
rdma/srpt 27
mm/vmscan 27
lib/vdso 27
swiotlb-xen 27
taprio 27
iommu/io-pgtable-arm 27
dm verity 27
dma 27
writeback 27
ptp 27
powerpc/dma 27
vmci 27
perf session 27
powerpc/vas 26
hugetlbfs 26
powerpc/bpf 26
tty 26
perf/arm-cmn 26
maintainers 26
efi/x86 26
perf trace beauty 26
vfio 26
logitech-hidpp 26
seqlock 26
rcu/tree 26
rdma/ipoib 26
virtio 26
sched/topology 26
mm/damon 26
pci/err 26
memory_hotplug 26
perf vendor events arm64 25
libtraceevent 25
sch_htb 25
sch_cake 25
nvmet-fc 25
perf machine 25
psi 25
skmsg 25
acpi / apei 25
perf build 25
dm mpath 25
kernel 25
wacom 25
vdpa_sim 25
powerpc/papr_scm 25
refperf 25
nvmet-rdma 25
rdma/restrack 25
perf beauty 24
drm/i915/tgl 24
s390/kasan 24
blktrace 24
infiniband 24
mm/page_alloc.c 24
sbitmap 24
perf daemon 24
pnfs/flexfiles 24
sched/deadline 24
x86/mm/pat 24
libnvdimm 24
nitro_enclaves 24
virtio_net 24
ftrace 24
exec 24
stm class 24
misc 24
selftests/vm 24
intel-ethernet 24
drm/i915/adl_s 24
bpfilter 24
qmi_wwan 24
selftest 24
net/mlx4_core 24
perf jevents 24
x86/kvm/vmx 23
dm thin 23
libata 23
mm, memory_hotplug 23
cio 23
rdma/srp 23
cpuset 23
iommu/iova 23
drm/vmwgfx 23
s390/ap 23
perf header 23
fanotify 23
drm/qxl 22
x86/tdx 22
kcsan 22
perf expr 22
bareudp 22
s390/bpf 22
ib/cm 22
padata 22
page_pool 22
ath 22
x86/pci 22
hugetlb 22
skbuff 22
cpu/hotplug 22
pci/msi 22
perf ftrace 22
bpf, libbpf 21
x86/entry/32 21
kprobes 21
hyper-v 21
x86/microcode/amd 21
ib 21
perf/x86/intel/pt 21
mm, page_alloc 21
selftests/livepatch 21
blk-throttle 21
quota 21
lib/vsprintf 21
drm/i915/icl 21
qla2xxx 21
nfsv4.2 21
blk-wbt 21
genetlink 21
mm,hwpoison 21
memblock 20
vhost_net 20
drm/i915/dp 20
vsprintf 20
x86/fpu/signal 20
md/raid10 20
x86/entry/64 20
tools, bpftool 20
x86/bugs 20
bdi 20
mt7601u 20
virtio_ring 20
irqchip/gic-v4.1 20
x86/asm 20
uclogic 20
perf/x86/rapl 20
vt 20
kvm/x86 20
x86/speculation/l1tf 20
perf/x86/intel/lbr 20
mm, oom 20
tools lib traceevent, perf tools 20
memremap 20
locking/ww_mutex 19
perf config 19
perf augmented_raw_syscalls 19
nfsv4/pnfs 19
perf/x86/amd 19
mm/mmu_notifier 19
khugepaged 19
selftests/vm/pkeys 19
net-sysfs 19
proc 19
extcon 19
kernfs 19
perf vendor events amd 19
s390/decompressor 19
iw_cxgb4 19
ci 19
dm table 19
perf scripting python 19
integrity 19
nfs/pnfs 19
arch_topology 19
acpi / pmic 19
perf inject 19
powerpc/mm 19
x86/sev-es 19
scftorture 19
usbnet 19
team 19
sfc/siena 19
sched/debug 19
uio 18
evm 18
video 18
s390/cio 18
vfio/mdev 18
sched/pelt 18
perf db-export 18
x86/mce/amd 18
perf thread-stack 18
geneve 18
x86/speculation/mds 18
ethernet/intel 18
md/raid1 18
mhi 18
genirq/affinity 18
powerpc/pseries/vas 18
switchdev 18
nvme-core 18
drm/radeon 18
perf bench 18
ch_ktls 18
vdpa/ifcvf 18
pci/ats 18
mt7615 18
cross-tree 18
arm64/cpufeature 18
boot/compressed/64 17
block/mq-deadline 17
gic-v4.1 17
arm 17
documentation/abi 17
powerpc/powernv/npu 17
dm snapshot 17
drm/nouveau/kms/nv50- 17
raid5 17
nfs4 17
keys 17
acpi / lpss 17
tg3 17
mm/slub.c 17
mm/memory_hotplug.c 17
s390/pkey 17
ipc 17
dm bufio 17
pci/iov 17
perf diff 17
powerpc/xmon 17
slub 17
mm/damon/dbgfs 17
nfsv4.1 17
vfio/type1 16
mm/slub 16
misc/mei/hdcp 16
kasan, arm64 16
tools arch x86 16
mm/thp 16
backlight 16
fsnotify 16
signal/arm64 16
asm-generic/tlb 16
packet 16
l2tp 16
pci/switchtec 16
ntb_hw_switchtec 16
ipvs 16
perf python 16
arm64/sve 16
optee 16
drm/i915/gvt 16
x86/efi 16
selftests/tls 16
inet 16
dm cache 16
x86, sched 16
powerpc/pseries/mobility 16
netns 16
drm/i915/guc 16
vlan 16
iov_iter 16
rt2800 16
arm/arm64 16
pseries 16
random 16
powerpc/ptrace 16
virtchnl 16
s390/crypto 16
virtio-balloon 16
mm/vmalloc.c 15
ib/isert 15
tools include uapi 15
ip 15
dm thin metadata 15
bfq 15
ip6_gre 15
perf list 15
pci/dpc 15
eth 15
powerpc/xive 15
